iter	Passed	Remaining
0	64	64310
1	64	32332
2	65	21654
3	65	16309
4	65	13110
5	66	10973
6	66	9453
7	66	8301
8	67	7405
9	67	6687
10	67	6106
11	68	5625
12	68	5210
13	69	4859
14	69	4552
15	69	4284
16	69	4045
17	70	3836
18	70	3648
19	70	3478
20	71	3336
21	71	3196
22	72	3067
23	72	2950
24	72	2842
25	73	2743
26	73	2650
27	73	2566
28	74	2486
29	74	2411
30	74	2342
31	75	2278
32	75	2216
33	76	2159
34	76	2104
35	76	2051
36	76	2002
37	77	1954
38	77	1910
39	77	1869
40	78	1829
41	78	1791
42	78	1755
43	79	1720
44	79	1687
45	79	1655
46	80	1624
47	80	1595
48	80	1567
49	81	1540
50	81	1515
51	81	1490
52	82	1466
53	82	1444
54	82	1423
55	83	1401
56	83	1381
57	84	1365
58	84	1350
59	85	1335
60	85	1317
61	86	1301
62	86	1287
63	87	1274
64	87	1261
65	88	1245
66	88	1230
67	88	1213
68	88	1198
69	89	1185
70	89	1172
71	89	1159
72	90	1146
73	90	1134
74	90	1121
75	91	1110
76	91	1098
77	91	1086
78	92	1077
79	92	1066
80	93	1055
81	93	1044
82	93	1034
83	93	1024
84	94	1012
85	94	1005
86	94	996
87	95	987
88	95	979
89	96	970
90	96	961
91	96	954
92	97	946
93	97	938
94	97	931
95	98	927
96	98	920
97	99	913
98	99	906
99	100	901
100	100	896
101	100	888
102	101	883
103	101	877
104	102	873
105	102	867
106	103	861
107	103	854
108	103	848
109	104	842
110	104	836
111	104	830
112	105	824
113	105	819
114	105	813
115	105	807
116	106	802
117	106	797
118	106	791
119	107	786
120	107	780
121	107	775
122	107	769
123	108	764
124	108	759
125	108	755
126	109	750
127	109	744
128	109	740
129	110	736
130	110	733
131	111	730
132	111	725
133	111	721
134	111	717
135	112	713
136	112	711
137	113	708
138	114	706
139	114	702
140	114	699
141	115	696
142	115	692
143	115	689
144	116	685
145	116	682
146	116	678
147	117	675
148	117	672
149	118	669
150	118	666
151	118	663
152	119	660
153	119	657
154	120	655
155	120	653
156	121	651
157	121	648
158	122	645
159	122	642
160	122	639
161	123	636
162	123	633
163	123	630
164	124	627
165	124	625
166	124	622
167	125	619
168	125	616
169	125	614
170	126	611
171	126	608
172	126	605
173	127	603
174	127	600
175	127	598
176	128	595
177	128	594
178	129	593
179	129	591
180	129	587
181	130	585
182	130	582
183	130	580
184	131	578
185	131	576
